"ident","ins_buzz_max"
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s139_ch0",-1.64
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s13_ch0",-0.91
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s140_ch0",-1.15
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s141_ch0",-1.25
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s142_ch0",-1.58
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s143_ch0",-1.98
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s144_ch0",-2.36
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s145_ch0",-2.26
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s146_ch0",-1.44
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s147_ch0",-1.45
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s148_ch0",-1.02
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s14_ch0",-3.63
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s150_ch0",-1.44
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s151_ch0",-0.89
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s152_ch0",-1.86
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s153_ch0",-1.15
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s154_ch0",-1.63
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s155_ch0",-2.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s156_ch0",-1.73
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s157_ch0",-1.66
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s158_ch0",-1.39
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s159_ch0",-2.01
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s15_ch0",-2.21
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s160_ch0",-2.23
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s161_ch0",-0.88
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s162_ch0",-0.87
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s163_ch0",-1.86
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s164_ch0",-2.39
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s165_ch0",-1.95
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s166_ch0",-1.68
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s167_ch0",-1.49
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s168_ch0",-1.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s169_ch0",-1.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s16_ch0",-3.43
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s17_ch0",-4.09
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s18_ch0",-4.28
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s19_ch0",-4.79
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s1_ch0",-1.18
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s20_ch0",-3.53
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s21_ch0",-2.79
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s22_ch0",-4.3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s23_ch0",-3.9
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s24_ch0",-3.55
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s25_ch0",-2.54
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s26_ch0",-4.5
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s27_ch0",-1.56
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s28_ch0",-1.51
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s29_ch0",-1
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s2_ch0",-1.18
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s30_ch0",-0.82
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s31_ch0",-0.77
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s32_ch0",-1
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s33_ch0",-0.8
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s34_ch0",-1.07
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s35_ch0",-1.19
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s36_ch0",-1.22
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s37_ch0",-0.85
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s38_ch0",-1.46
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s39_ch0",-1.43
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s3_ch0",-1.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s40_ch0",-0.97
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s41_ch0",-1.27
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s42_ch0",-1.06
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s43_ch0",-1.55
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s44_ch0",-1.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s45_ch0",-0.6
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s46_ch0",-1.08
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s47_ch0",-1.22
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s48_ch0",-1.34
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s49_ch0",-1.54
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s4_ch0",-0.97
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s50_ch0",-2.27
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s51_ch0",-1.3
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s52_ch0",-1.14
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s53_ch0",-0.59
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s54_ch0",-0.84
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s55_ch0",-1.53
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s56_ch0",-1.27
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s57_ch0",-1.4
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s58_ch0",-1.06
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s59_ch0",-1.19
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s5_ch0",-1.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s60_ch0",-1.87
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s61_ch0",-0.8
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s62_ch0",-1.31
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s63_ch0",-0.47
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s64_ch0",-0.41
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s65_ch0",-1.37
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s66_ch0",-1.07
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s67_ch0",-1.25
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s68_ch0",-1.13
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s69_ch0",-1.67
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s6_ch0",-1.08
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s70_ch0",-0.89
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s71_ch0",-1.58
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s72_ch0",-1.46
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s73_ch0",-1.46
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s74_ch0",-0.64
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s75_ch0",-1.25
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s76_ch0",-0.75
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s77_ch0",-0.94
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s78_ch0",-1.11
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s79_ch0",-0.46
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s7_ch0",-0.75
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s80_ch0",-1.91
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s81_ch0",-1.73
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s82_ch0",-0.83
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s83_ch0",0.02
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s84_ch0",-1.45
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s85_ch0",-1.52
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s86_ch0",-0.64
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s87_ch0",-0.55
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s88_ch0",-1.31
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s89_ch0",-1.51
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s8_ch0",-1.27
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s90_ch0",-1.54
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s91_ch0",-1.21
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s92_ch0",-1.03
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s93_ch0",-0.74
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s94_ch0",-0.08
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s95_ch0",-1.7
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s96_ch0",-1.41
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s97_ch0",-1.82
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s98_ch0",-0.84
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s99_ch0",-1.07
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000000/2023613-16-37_Episyrphus_balteatus_000000_s9_ch0",-0.88
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s100_ch2",-0.82
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s101_ch2",-1.17
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s102_ch2",-0.82
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s103_ch2",-0.75
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s104_ch2",0.06
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s105_ch2",-1.17
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s106_ch2",-0.93
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s107_ch2",-0.9
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s108_ch2",-1.64
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s109_ch2",-0.83
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s10_ch2",-2.07
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s110_ch2",-0.45
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s111_ch2",-1.61
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s112_ch2",-1.23
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s113_ch2",-1.14
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s114_ch2",-1.24
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s115_ch2",-0.74
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s116_ch2",-1.24
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s117_ch2",-1.29
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s118_ch2",-1.16
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s119_ch2",-1.57
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s11_ch2",-1
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s120_ch2",-1.09
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s121_ch2",-1.36
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s122_ch2",-1.66
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s123_ch2",-0.95
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s124_ch2",-1.03
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s125_ch2",-1.03
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s126_ch2",-0.85
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s127_ch2",-1.38
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s128_ch2",-0.98
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s129_ch2",-1.22
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s12_ch2",-1.41
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s130_ch2",-1.63
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s131_ch2",-1.53
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s132_ch2",-1.64
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s133_ch2",-0.92
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s134_ch2",-2.52
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s135_ch2",-1.12
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s136_ch2",-1.23
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s137_ch2",-1.18
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s138_ch2",-1.15
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s139_ch2",-1.23
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s13_ch2",-1.46
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s140_ch2",-1.05
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s141_ch2",-0.67
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s142_ch2",-1.01
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s143_ch2",0.1
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s144_ch2",-1.32
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s145_ch2",-1.23
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s146_ch2",-1.58
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s147_ch2",-1.04
"Luke - External Data Sources/InsectSound1000/Episyrphus_balteatus/2023613-16-37/000001/2023613-16-37_Episyrphus_balteatus_000001_s148_ch2",-1.87
